exam_id,exam_name,question_number,question_text,image_code,image_path,observacoes
le03,Legislação 03,1,"Diante da placa ao lado (R-2), você entende que deve",R-2,images/placas_R-2.webp,
le03,Legislação 03,2,"Diante da placa ao lado (R-4a), você entende que é proibido",R-4a,images/placas_R-4a.png,
le03,Legislação 03,3,"Diante da placa ao lado (R-4b), você entende que é proibido:",R-4b,images/placas_R-4b.png,
le03,Legislação 03,4,"Diante da placa ao lado (R-5), você entende que é proibido",R-5,images/placas_R-5.webp,
le03,Legislação 03,5,"Diante da placa ao lado (R-6b), você entende que",R-6b,images/placas_R-6b.png,
le03,Legislação 03,6,"Diante da placa ao lado (R-7), você entende que é",R-7,images/placas_R-7.webp,
le03,Legislação 03,7,"Diante da placa ao lado (R-9), você entende que é",R-9,images/placas_R-9.jpeg,
le03,Legislação 03,8,"Diante da placa ao lado (R-11), você entende que é",R-11,images/placas_R-11.webp,
le03,Legislação 03,9,"Diante da placa ao lado (R-19), você",R-19,images/placas_R-19.jpg,
le03,Legislação 03,10,"Diante da placa ao lado (R-20), você entende que é",R-20,images/placas_R-20.png,
le03,Legislação 03,11,"Diante da placa ao lado (R-21), você entende que",R-21,images/placas_R-21.webp,
le03,Legislação 03,18,"Diante da placa ao lado (R-1), você entende que deve",R-1,images/placas_R-1.png,
le03,Legislação 03,19,"Diante da placa ao lado (R-3), você entende que é proibido",R-3,images/placas_R-3.webp,
le03,Legislação 03,20,"Diante da placa ao lado (R-6a), você entende que é proibido",R-6a,images/placas_R-6a.webp,
le03,Legislação 03,21,"Diante da placa ao lado (R-6c), você entende que",R-6c,images/placas_R-6c.webp,
le03,Legislação 03,22,"Diante da placa ao lado (R-8), você entende que é",R-8,images/placas_R-8.webp,
le03,Legislação 03,23,"Diante da placa ao lado (R-14), você entende que aqui só é permitida a circulação de veículos com",R-14,images/placas_R-14.webp,
le03,Legislação 03,24,"Diante da placa ao lado (R-15), você entende que aqui só é permitida a circulação de veículos com",R-15,images/placas_R-15.webp,
le03,Legislação 03,25,"Diante da placa ao lado (R-16), você entende que aqui só é permitida a circulação de veículos com",R-16,images/placas_R-16.webp,
le03,Legislação 03,26,"Diante da placa ao lado (R-17), você entende que só podem circular veículos com",R-17,images/placas_R-17.webp,
le03,Legislação 03,27,"Diante da placa ao lado (R-23), você entende que deve",R-23,images/placas_R-23.webp,
le03,Legislação 03,28,"Diante da placa ao lado (R-24a), você entende que deve",R-24a,images/placas_R-24a.png,
le03,Legislação 03,29,"Diante da placa ao lado (R-24b), você entende que",R-24b,images/placas_R-24b.webp,
le03,Legislação 03,30,"Diante da placa ao lado (R-25a), você entende que",R-25a,images/placas_R-25a.png,
le04,Legislação 04,1,"Diante da placa ao lado (A-5a), o condutor entende que vai encontrar",A-5a,images/placas_A-5a.webp,
le04,Legislação 04,2,"Diante da placa ao lado (A-8), você entende que a mensagem é bifurcação em ""T"",",A-8,images/placas_A-8.webp,
le04,Legislação 04,3,"Diante da placa ao lado (A-10a), você entende que existe um entroncamento oblíquo",A-10a,images/placas_A-10a.webp,
le04,Legislação 04,4,"Diante da placa ao lado (A-10b), você entende que existe um entroncamento oblíquo",A-10b,images/placas_A-10b.webp,
le04,Legislação 04,5,"Diante da placa ao lado (A-11a), você entende que adiante existe a junção de duas vias laterais,",A-11a,images/placas_A-11a.webp,
le04,Legislação 04,6,"Diante da placa ao lado (A-11b), você entende que adiante existe a junção de duas vias laterais,",A-11b,images/placas_A-11b.webp,
le04,Legislação 04,7,"Diante da placa ao lado (A-12), você entende que adiante existe uma interseção na qual a circulação",A-12,images/placas_A-12.webp,
le04,Legislação 04,8,"Diante da placa ao lado (A-13a), você entende que existe adiante",A-13a,images/placas_A-13a.webp,
le04,Legislação 04,9,"Diante da placa ao lado (A-13b), você entende que adiante existe uma",A-13b,images/placas_A-13b.webp,
le04,Legislação 04,10,"A placa ao lado (A-14), indica que você vai encontrar adiante",A-14,images/placas_A-14.webp,
le04,Legislação 04,11,"Diante da placa ao lado (A-16), você entende que existe",A-16,images/placas_A-16.png,
le04,Legislação 04,12,"Diante da placa ao lado (A-17), você entende que existe",A-17,images/placas_A-17.webp,
le04,Legislação 04,13,"Diante da placa ao lado (A-18), você entende que há saliência ou lombada",A-18,images/placas_A-18.webp,
le04,Legislação 04,14,"Diante da placa ao lado (A-21a), você entende que a pista vai se estreitar",A-21a,images/placas_A-21a.png,
le04,Legislação 04,15,"Diante da placa ao lado (A-21b), você entende que a pista vai se estreitar",A-21b,images/placas_A-21b.png,
le04,Legislação 04,16,"Diante da placa ao lado (A-21c), você entende que a pista vai se estreitar",A-21c,images/placas_A-21c.webp,
le04,Legislação 04,17,"Diante da placa ao lado (A-22), você entende que adiante existe uma ponte",A-22,images/placas_A-22.png,
le04,Legislação 04,18,"Diante da placa ao lado (A-23), você entende que adiante existe uma ponte",A-23,images/placas_A-23.webp,
le04,Legislação 04,19,"Diante da placa ao lado (A-25), você entende que",A-25,images/placas_A-25.webp,
le04,Legislação 04,20,"Diante da placa ao lado (A-27), você entende que a área sinalizada",A-27,images/placas_A-27.webp,
le04,Legislação 04,21,"Diante da placa ao lado (A-29), você entende que no trecho sinalizado",A-29,images/placas_A-29.webp,
le04,Legislação 04,22,"Diante da placa ao lado (A-30), você entende que nesta área",A-30,images/placas_A-30.webp,
le04,Legislação 04,23,"Diante da placa ao lado (A-31), você entende que nesta área",A-31,images/placas_A-31.webp,
le04,Legislação 04,24,"Diante da placa ao lado (A-34), você entende que nesta área",A-34,images/placas_A-34.webp,
le04,Legislação 04,25,"Diante da placa ao lado (A-37), você entende que só passam veículos com",A-37,images/placas_A-37.webp,
